Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
5493,Cameroon,Sorghum,2005,13173,1604.0,829.59,25.36
10969,India,Soybeans,1992,8947,1083.0,70791.0,25.91
2001,Bahamas,Cassava,1997,75317,1292.0,484.59,25.81
22157,Pakistan,Potatoes,1997,112295,494.0,16936.0,23.76
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41
13033,India,"Rice, paddy",2005,31537,1083.0,35342.0,26.83
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47
1631,Australia,Soybeans,2010,19042,534.0,42169.39,20.33
21263,New Zealand,Wheat,2000,62095,1732.0,3634.3,13.4
28126,Zimbabwe,Sorghum,1998,3106,657.0,2883.0,21.3
25348,Spain,Maize,1997,91501,636.0,34023.0,17.81
1534,Australia,"Rice, paddy",2008,75988,534.0,42935.38,16.7
18652,Mali,Potatoes,2007,240551,282.0,7.72,27.94
22045,Pakistan,Sorghum,1995,6099,494.0,7681.0,22.61
10760,India,"Rice, paddy",1991,26271,1083.0,72133.0,25.06
15547,Iraq,Maize,2005,23079,216.0,873.01,19.96
14096,India,"Rice, paddy",2011,35878,1083.0,55540.0,27.41
23800,Qatar,Wheat,2012,22857,74.0,68.0,28.54
1280,Australia,Potatoes,2001,328633,534.0,32710.0,18.39
14094,India,"Rice, paddy",2011,35878,1083.0,55540.0,25.63
25971,Suriname,Sweet potatoes,2002,142308,2331.0,986.25,27.14
7348,Dominican Republic,Maize,2007,13350,1410.0,5689.8,27.08
5165,Burundi,Sweet potatoes,1992,63418,1274.0,92.08,21.31
20535,Morocco,Soybeans,1994,13755,346.0,10992.57,17.88
25548,Spain,Soybeans,2007,26744,636.0,39286.0,11.89
6835,Colombia,"Rice, paddy",2008,48887,3240.0,48538.97,27.16
10189,Honduras,Sorghum,1993,9183,1976.0,6768.0,24.58
10495,Hungary,Wheat,2012,37485,589.0,8141.17,11.31
4286,Brazil,Soybeans,2008,28162,1761.0,312637.0,26.94
884,Australia,Sweet potatoes,1991,151142,534.0,17866.0,18.73
21760,Pakistan,Wheat,1990,18249,494.0,5299.0,26.39
18472,Malaysia,"Rice, paddy",2005,34221,2875.0,39406.48,27.59
19519,Mexico,Sorghum,1998,33152,758.0,34468.93,17.07
26721,Turkey,Wheat,1997,20174,593.0,34431.0,10.13
4418,Brazil,Yams,2009,94599,1761.0,335742.0,27.39
26147,Switzerland,Potatoes,2008,427835,1537.0,2011.47,7.98
4226,Brazil,Cassava,2008,141371,1761.0,312637.0,20.22
1862,Austria,Sorghum,2012,68081,1110.0,3563.3,9.42
4836,Bulgaria,Wheat,1992,31071,608.0,3906.0,9.07
12357,India,Sorghum,2000,7639,1083.0,44957.52,26.49
18941,Mauritius,Cassava,2007,141176,2041.0,644.12,24.28
12865,India,"Rice, paddy",2004,29756,1083.0,35113.0,25.98
12036,India,Soybeans,1998,11001,1083.0,49157.0,25.55
2838,Brazil,Yams,1992,91413,1761.0,67003.89,24.97
735,Argentina,"Rice, paddy",2013,67187,591.0,171945.54,16.45
25761,Sri Lanka,Sweet potatoes,1999,61575,1712.0,1766.91,26.32
12068,India,Wheat,1998,24852,1083.0,49157.0,26.01
12609,India,Wheat,2001,27081,1083.0,43720.04,26.91
14803,Indonesia,Cassava,1997,121718,2702.0,1597.0,27.37
9295,Ghana,Cassava,2011,160124,1187.0,378.97,27.11
13371,India,Potatoes,2007,164101,1083.0,27422.77,25.66
10765,India,"Rice, paddy",1991,26271,1083.0,72133.0,25.74
18262,Malawi,Wheat,1992,4239,1181.0,173.19,20.89
23358,Peru,Maize,1995,19593,1738.0,3134.0,17.26
26257,Tajikistan,Soybeans,2007,824,691.0,247.9,8.69
12455,India,Cassava,2001,266998,1083.0,43720.04,26.91
5013,Burkina Faso,Cassava,1997,20557,748.0,75.29,28.52
14754,Indonesia,Soybeans,1995,11371,2702.0,1597.0,25.46
2645,Brazil,Cassava,1991,126164,1761.0,58349.44,27.34
22843,Pakistan,Maize,2009,34879,494.0,3957.61,19.3
8443,El Salvador,Plantains and others,1995,119791,1784.0,3475.08,26.05
5708,Canada,Potatoes,1995,107859,537.0,32223.4,6.38
27041,Turkey,"Rice, paddy",2010,86899,593.0,38554.69,13.27
3248,Brazil,Maize,1997,26228,1761.0,110276.11,18.36
8144,Egypt,Soybeans,1994,28828,51.0,4283.0,22.02
2736,Brazil,Yams,1991,91353,1761.0,58349.44,19.11
4388,Brazil,Soybeans,2009,26365,1761.0,335742.0,24.98
20745,Morocco,Soybeans,2010,10000,346.0,13697.0,18.83
14217,India,Cassava,2012,385818,1083.0,52980.0,26.89
10186,Honduras,Plantains and others,1993,144636,1976.0,6768.0,24.58
18933,Mauritius,Cassava,2005,147143,2041.0,698.23,24.16
25497,Spain,Potatoes,2005,269844,636.0,41017.0,12.26
1188,Australia,Maize,1999,51212,534.0,34200.0,12.1
7768,Ecuador,"Rice, paddy",2001,36000,2274.0,7344.0,17.39
27282,Uganda,Soybeans,2005,10972,1180.0,88.0,24.29
11438,India,Potatoes,1995,162720,1083.0,61257.0,24.04
2582,Brazil,"Rice, paddy",1990,18803,1761.0,49695.0,18.47
25273,Spain,Sorghum,1993,45660,636.0,29408.0,16.4
7882,Ecuador,Soybeans,2006,11500,2274.0,7953.42,17.6
15801,Italy,Potatoes,1997,222609,832.0,84799.0,13.13
21860,Pakistan,Sorghum,1992,5910,494.0,5518.0,24.31
8880,France,Potatoes,2012,413769,867.0,63547.59,11.22
21649,Niger,Cassava,2013,199719,151.0,21.37,30.42
4847,Bulgaria,Soybeans,1994,9402,608.0,3648.5,10.23
3930,Brazil,Cassava,2005,136059,1761.0,232232.0,18.53
16888,Japan,Wheat,2007,43400,1668.0,61164.07,16.03
10819,India,Sweet potatoes,1991,83453,1083.0,72133.0,25.4
15769,Italy,Wheat,1994,34796,832.0,81217.6,13.53
16560,Japan,Yams,1998,200786,1668.0,79821.18,13.74
20807,Mozambique,Cassava,1992,33284,1032.0,102.26,22.6
27115,Turkey,Wheat,2012,26723,593.0,42610.59,19.92
20763,Morocco,Wheat,2011,19488,346.0,13697.0,18.53
12463,India,Maize,2001,19996,1083.0,43720.04,24.5
19510,Mexico,Potatoes,1998,204955,758.0,34468.93,21.38
16451,Japan,"Rice, paddy",1996,65402,1668.0,79821.18,14.8
17766,Lesotho,Potatoes,1990,176905,788.0,0.3,14.48
27039,Turkey,Potatoes,2010,323303,593.0,38554.69,19.27
24909,South Africa,Soybeans,2002,17962,495.0,26857.0,19.28
10460,Hungary,Maize,2007,37327,589.0,11178.0,11.82
24643,South Africa,Potatoes,1993,228678,495.0,16582.0,21.32
23590,Poland,Maize,2012,73481,600.0,21885.99,8.48
3879,Brazil,Sorghum,2004,23187,1761.0,214725.0,27.24
13835,India,Wheat,2009,29071,1083.0,28707.01,25.99
12766,India,Sweet potatoes,2002,85694,1083.0,42482.56,27.35
22171,Pakistan,Sorghum,1997,5926,494.0,16936.0,22.14
12267,India,Cassava,2000,269087,1083.0,44957.52,25.93
14729,Indonesia,Sweet potatoes,1994,93583,2702.0,1597.0,27.18
16979,Japan,Yams,2009,211519,1668.0,60970.8,15.67
11402,India,Cassava,1995,252775,1083.0,61257.0,27.03
1356,Australia,Maize,2004,56326,534.0,36276.0,12.35
17067,Japan,Maize,2012,26154,1668.0,54716.4,15.54
9737,Guinea,Cassava,1998,69024,1651.0,181.35,27.63
4973,Burkina Faso,Cassava,1992,21429,748.0,29.1,28.06
2252,Bangladesh,Potatoes,2005,148805,2666.0,7605.01,26.19
17398,Kazakhstan,Soybeans,2013,19727,250.0,8738.38,5.49
2789,Brazil,Sorghum,1992,17190,1761.0,67003.89,20.21
3953,Brazil,Potatoes,2005,220095,1761.0,232232.0,18.53
7880,Ecuador,Sorghum,2006,15068,2274.0,7953.42,22.31
2085,Bangladesh,Potatoes,1990,91410,2666.0,1266.0,25.98
12587,India,Sweet potatoes,2001,88368,1083.0,43720.04,26.91
6325,Chile,"Rice, paddy",1993,44921,1522.0,15373.0,13.26
19899,Mexico,"Rice, paddy",2005,50653,758.0,51741.99,22.95
8994,Germany,Soybeans,1998,21896,700.0,33377.0,9.31
8796,France,Potatoes,1997,397848,867.0,109792.0,11.59
14829,Indonesia,Soybeans,1997,12125,2702.0,1597.0,27.62
6379,Chile,Wheat,1998,43846,1522.0,15373.0,13.19
15416,Iraq,Potatoes,1993,174739,216.0,692.0,22.86
8895,Germany,Potatoes,1990,257764,700.0,31289.0,10.08
14579,Indonesia,Soybeans,1990,11149,2702.0,2432.0,27.47
8965,Germany,Maize,1996,78272,700.0,31683.0,4.49
21066,Nepal,Maize,1996,16770,1500.0,70.43,15.37
22834,Pakistan,Wheat,2008,24514,494.0,4946.79,19.34
8972,Germany,Wheat,1996,72932,700.0,31683.0,7.88
6032,Canada,Wheat,2009,27897,537.0,54529.4,6.28
18683,Mali,Sweet potatoes,2010,188048,282.0,3.84,28.18
20044,Mexico,Soybeans,2007,14121,758.0,64501.28,19.7
21194,Netherlands,Potatoes,2005,434423,778.0,10703.85,10.48
11086,India,Potatoes,1993,149024,1083.0,66388.0,24.34
2704,Brazil,Soybeans,1991,15533,1761.0,58349.44,25.57
13764,India,Sorghum,2009,9621,1083.0,28707.01,26.55
21685,Norway,Wheat,2005,48925,1414.0,518.94,4.26
3433,Brazil,Cassava,1999,132795,1761.0,127585.0,21.59
6178,Central African Republic,Yams,1996,66038,1342.0,22.87,25.32
9353,Greece,"Rice, paddy",1995,81057,652.0,6663.0,17.82
14989,Indonesia,Maize,2002,30655,2702.0,1597.0,27.4
12216,India,Soybeans,1999,11380,1083.0,46195.0,26.96
24192,Saudi Arabia,Potatoes,1995,196769,59.0,994.0,25.64
10305,Honduras,"Rice, paddy",2007,50483,1976.0,5283.93,24.55
408,Argentina,Wheat,1991,18972,591.0,26156.0,17.86
25903,Suriname,"Rice, paddy",1991,38156,2331.0,207.0,26.93
28095,Zimbabwe,Soybeans,1994,21217,657.0,1664.0,20.64
8908,Germany,Potatoes,1991,298464,700.0,32006.0,4.93
20959,Namibia,Wheat,1991,59000,285.0,39.0,19.92
18181,Madagascar,"Rice, paddy",2006,27667,1513.0,109.39,20.09
12909,India,Soybeans,2004,9082,1083.0,35113.0,25.98
19818,Mexico,Maize,2004,28188,758.0,26433.14,19.91
9897,Guyana,Yams,1999,93333,2387.0,289.9,27.16
23,Albania,Maize,1994,25848,1485.0,201.0,16.96
17497,Kenya,Soybeans,1999,8228,630.0,3056.0,16.7
13346,India,Maize,2007,23352,1083.0,27422.77,26.15
5180,Burundi,"Rice, paddy",1994,31099,1274.0,84.45,21.25
20655,Morocco,Potatoes,2004,241650,346.0,15064.0,18.07
23224,Papua New Guinea,"Rice, paddy",2000,18910,3142.0,105.0,25.4
18118,Madagascar,Sorghum,1997,6795,1513.0,139.89,19.97
23734,Portugal,Yams,2013,169492,854.0,10126.8,16.77
25855,Sri Lanka,Sorghum,2012,12857,1712.0,1112.8,26.88
9266,Ghana,Yams,2006,131938,1187.0,771.58,27.1
17574,Kenya,Potatoes,2008,214815,630.0,1578.0,16.66
4099,Brazil,Sweet potatoes,2006,116902,1761.0,238716.0,27.34
26610,Turkey,"Rice, paddy",1993,50176,593.0,28042.0,18.82
22383,Pakistan,Sweet potatoes,2000,109771,494.0,27885.0,26.71
27950,Zambia,Sorghum,1999,6954,1020.0,1670.0,20.53
14101,India,"Rice, paddy",2011,35878,1083.0,55540.0,26.0
23604,Portugal,Potatoes,1991,126513,854.0,9357.0,16.09
8450,El Salvador,Maize,1996,22572,1784.0,3319.85,25.77
1276,Australia,Potatoes,2001,328633,534.0,32710.0,16.63
10261,Honduras,Sorghum,2001,11104,1976.0,1141.0,24.4
23756,Qatar,Maize,1997,125694,74.0,21.5,27.23
25328,Spain,Potatoes,1996,211919,636.0,33236.0,16.72
13295,India,Sweet potatoes,2006,86849,1083.0,37423.0,26.28
20312,Mexico,Wheat,2011,54778,758.0,65961.1,21.55
8256,Egypt,Soybeans,2002,29904,51.0,5147.0,22.41
5019,Burkina Faso,Sweet potatoes,1997,52003,748.0,75.29,28.52
9564,Guatemala,Cassava,2000,22705,1996.0,9665.14,19.47
26817,Turkey,Soybeans,2001,33064,593.0,25539.0,13.16
26435,Thailand,Cassava,2011,192995,1622.0,87191.0,27.56
22078,Pakistan,Wheat,1995,20811,494.0,7681.0,18.68
12124,India,Maize,1999,17922,1083.0,46195.0,25.1
25494,Spain,Maize,2005,96099,636.0,41017.0,12.26
